,User,Tweet Data,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
0,BBC News (World),Too fat cats? Russian circus under fire over 'obese' lionesses https://t.co/05mA2q2S6c,Tue Dec 19 17:37:34 +0000 2017,-0.34,0.0,0.806,0.194,100
1,BBC News (World),Canada couple forced to spend Christmas apart after 70 years https://t.co/UCpWvPpYTJ,Tue Dec 19 17:30:42 +0000 2017,-0.4588,0.0,0.769,0.231,99
2,BBC News (World),Palestinian girl arrested after 'slap' video https://t.co/orxvcL4kzc,Tue Dec 19 17:14:34 +0000 2017,-0.4767,0.0,0.659,0.341,98
3,BBC News (World),RT @BBC_HaveYourSay: #Sorrynotsorry says @RealHughJackman as he goes against his surgeon's advice by singing too soon after cancer treatmen…,Tue Dec 19 16:46:08 +0000 2017,-0.6597,0.0,0.804,0.196,97
4,BBC News (World),"What an advantage!

Mothers are offering Serena Williams tips on how to help soothe a teething baby… https://t.co/tsu01cDZVu",Tue Dec 19 16:30:03 +0000 2017,0.7574,0.349,0.651,0.0,96
5,BBC News (World),Argentina passes pension reform despite violent protests https://t.co/5UBhj9Xmc1,Tue Dec 19 16:27:16 +0000 2017,0.5875,0.445,0.555,0.0,95
6,BBC News (World),RT @BBC_HaveYourSay: What one New Zealander bought Prime Minister @jacindaardern for Christmas after the first gift got held up https://t.c…,Tue Dec 19 16:17:48 +0000 2017,0.4404,0.132,0.868,0.0,94
7,BBC News (World),"Despite its pariah status, North Korea has diplomatic links with a surprisingly large number of nations… https://t.co/odDO5l50MS",Tue Dec 19 16:04:01 +0000 2017,0.3612,0.2,0.8,0.0,93
8,BBC News (World),Russia detains Norwegian 'spy' https://t.co/a7czeZpzxZ,Tue Dec 19 15:56:37 +0000 2017,0.0,0.0,1.0,0.0,92
9,BBC News (World),Berlin attack: Merkel speaks out on anniversary https://t.co/wKerBPGGOA,Tue Dec 19 15:53:09 +0000 2017,-0.4767,0.0,0.693,0.307,91
10,BBC News (World),New Zealand 'Cop Car Karaoke' drives home safety message https://t.co/MYhJxC5kMm,Tue Dec 19 15:28:00 +0000 2017,0.4215,0.237,0.763,0.0,90
11,BBC News (World),@BBCRosAtkins @AlexForsythBBC @GavinLeeBBC @BBCSteveR @BBCRajiniV Join our correspondents live now on Facebook as t… https://t.co/V33G1a7NBl,Tue Dec 19 15:27:57 +0000 2017,0.296,0.136,0.864,0.0,89
12,BBC News (World),Republican tax bill: House and Senate to hold final votes https://t.co/9x7jo561Zb,Tue Dec 19 15:15:06 +0000 2017,0.0,0.0,1.0,0.0,88
13,BBC News (World),What are your 2018 predictions? Share yours with @BBCRosAtkins and our correspondents live around the world on Face… https://t.co/6DPPMwDmZk,Tue Dec 19 14:54:42 +0000 2017,0.296,0.109,0.891,0.0,87
14,BBC News (World),"RT @BBC_HaveYourSay: Minnie Driver suggests Matt Damon is ""tone deaf"" for saying men in Hollywood who are not sexual predators should get m…",Tue Dec 19 14:44:03 +0000 2017,0.0,0.0,1.0,0.0,86
15,BBC News (World),What Aung San Suu Kyi said when asked about the horrors endured by the Rohingya people in Myanmar… https://t.co/XDNdTVO7oD,Tue Dec 19 14:04:15 +0000 2017,-0.5719,0.0,0.829,0.171,85
16,BBC News (World),RT @BBCAfrica: Zambia's new Chinese police officers removed after outcry https://t.co/9mJu266Y3I https://t.co/Pnp9shz66d,Tue Dec 19 14:03:41 +0000 2017,-0.5106,0.0,0.769,0.231,84
17,BBC News (World),Disney's President Donald Trump robot gets mocked https://t.co/8zBhsWLiwC,Tue Dec 19 13:38:06 +0000 2017,-0.3182,0.0,0.753,0.247,83
18,BBC News (World),Palestinian girl arrested after troops 'slapped' in video https://t.co/HpU5b3fypO,Tue Dec 19 13:27:56 +0000 2017,-0.4767,0.0,0.721,0.279,82
19,BBC News (World),Super Secret Santa steps up for New Zealand PM https://t.co/VRA1HdJ18b,Tue Dec 19 13:24:41 +0000 2017,0.5994,0.302,0.698,0.0,81
20,BBC News (World),Royal reburial row https://t.co/NGrlftnOtN,Tue Dec 19 13:24:41 +0000 2017,0.0,0.0,1.0,0.0,80
21,BBC News (World),Hundreds of dead sharks wash up on Iranian island https://t.co/FFqc95fGF6,Tue Dec 19 13:24:39 +0000 2017,-0.6486,0.0,0.677,0.323,79
